Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Band Configuration,Module 1",,T02.P0E16,Info Check,,,ro,binary,1,,,00=Valid;01=Invalid
"Settings,Band Configuration,Module 1
Settings,Radio Interface Modules,Module 1",,T02.P0D29,UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1
Settings,Radio Interface Modules,Module 1",,T02.P0D28,UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1
Settings,Radio Interface Modules,Module 1",,T02.P0D27,DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1
Settings,Radio Interface Modules,Module 1",,T02.P0D26,DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D2A,Digital Signal Bandwidth,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D2B,UL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D2C,DL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D21,BW Occupied in Fiber,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0EB9,Transmission Allocation in Fiber Core,,,ro,binary,1,,0 ~ 400,00=None;01=Fiber Core A;02=Fiber Core B
"Settings,Band Configuration,Module 2",,T02.P0E36,Info Check,,,ro,binary,1,,,00=Valid;01=Invalid
"Settings,Band Configuration,Module 2
Settings,Radio Interface Modules,Module 2",,T02.P0D49,UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2
Settings,Radio Interface Modules,Module 2",,T02.P0D48,UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2
Settings,Radio Interface Modules,Module 2",,T02.P0D47,DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2
Settings,Radio Interface Modules,Module 2",,T02.P0D46,DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D4A,Digital Signal Bandwidth,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D4B,UL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D4C,DL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D22,BW Occupied in Fiber,MHz,,ro,uint32,4,1000,,
