Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Band Configuration,Module 1",,T02.P0D29,UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D28,UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D27,DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D26,DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P04A0,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 1",,T02.P04D2,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 1",,T02.P04D3,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 2",,T02.P0D49,UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D48,UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D47,DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D46,DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P04A1,RF Signal Switch,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 2",,T02.P04D4,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 2",,T02.P04D5,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 3",,T02.P0D69,UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 3",,T02.P0D68,UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 3",,T02.P0D67,DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 3",,T02.P0D66,DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 3",,T02.P04A2,RF Signal Switch,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 3",,T02.P04D6,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 3",,T02.P04D7,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 4",,T02.P0D89,UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 4",,T02.P0D88,UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 4",,T02.P0D87,DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 4",,T02.P0D86,DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 4",,T02.P04A3,RF Signal Switch,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 4",,T02.P04D8,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 4",,T02.P04D9,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P0969,Radio Module 1 Module Mapping Frequency (UL/DL),,,ro,string,19,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P0979,Radio Module 1 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P096B,Radio Module 2 Module Mapping Frequency (UL/DL),,,ro,string,19,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P097A,Radio Module 2 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P096D,Radio Module 3 Module Mapping Frequency (UL/DL),,,ro,string,19,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P097B,Radio Module 3 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P096F,Radio Module 4 Module Mapping Frequency (UL/DL),,,ro,string,19,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P097C,Radio Module 4 Module Mapping,,,ro,string,30,,,
"Settings,Radio Signal Information,Module 1",,T02.P05D0,Digital Filter Bandwidth,MHz,,ro,uint32,4,1000,,
