Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Overview,Element Identification",,T02.P0002,Vendor,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P0004,Element Model Number,,,rw,string,20,,,
"Settings,Overview,Element Identification",,T02.P0005,Element Serial Number,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P000A,Software Version,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P0101,Device ID,,Hexadecimal,rw,binary,4,,,
"Settings,Overview,Element Identification",,T02.P0102,Device Sub ID,,Decimalism,rw,uint8,1,,,
"Settings,Overview,Element Identification",,T02.P0023,Installed Location Label,,,rw,string,40,,,
"Settings,Overview,Element Identification",,T02.P0024,Site Name,,,ro,string,100,,,
"Settings,Overview,Element Identification",,T02.P0030,Device Name,,,rw,string,40,,,
"Settings,Overview,Element Identification",,T02.P0501,Element Operating Temperature,℃,,ro,int8,1,,,
"Settings,Overview,Date And Time",,T02.P0150,System Date And Time,,,rw,datetime,7,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A96,OP1 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AA6,OP1 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AB6,OP1 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A97,OP2 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AA7,OP2 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AB7,OP2 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A98,OP3 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AA8,OP3 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AB8,OP3 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A99,OP4 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AA9,OP4 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AB9,OP4 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A9A,OP5 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AAA,OP5 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0ABA,OP5 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A9B,OP6 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AAB,OP6 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0ABB,OP6 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A9C,OP7 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AAC,OP7 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0ABC,OP7 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A9D,OP8 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AAD,OP8 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0ABD,OP8 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A8F,OP9 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AAE,OP9 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AC0,OP9 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A90,OP10 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AAF,OP10 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AC1,OP10 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AA0,OP11 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AB0,OP11 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AC2,OP11 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AA1,OP12 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AB1,OP12 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AC3,OP12 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AA2,OP13 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AB2,OP13 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AC4,OP13 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AA3,OP14 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AB3,OP14 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0AC5,OP14 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A9E,OP Slave Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A01,OP Slave Transceiver,,,ro,string,16,,,
