Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Overview,Element Identification",,T02.P0002,Vendor,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P0004,Element Model Number,,,rw,string,20,,,
"Settings,Overview,Element Identification",,T02.P0005,Element Serial Number,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P000A,Software Version,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P0101,Device ID,,Hexadecimal,rw,binary,4,,,
"Settings,Overview,Element Identification",,T02.P0102,Device Sub ID,,Decimalism,rw,uint8,1,,,
"Settings,Overview,Element Identification",,T02.P0023,Installed Location Label,,,rw,string,40,,,
"Settings,Overview,Element Identification",,T02.P0024,Site Name,,,ro,string,100,,,
"Settings,Overview,Element Identification",,T02.P0030,Device Name,,,rw,string,40,,,
"Settings,Overview,Element Identification",,T02.P0501,Element Operating Temperature,℃,,ro,int8,1,,,
"Settings,Overview,Date And Time",,T02.P0150,System Date And Time,,,rw,datetime,7,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A96,OP1 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AA6,OP1 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AB6,OP1 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A97,OP2 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AA7,OP2 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AB7,OP2 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A98,OP3 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AA8,OP3 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AB8,OP3 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A99,OP4 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AA9,OP4 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AB9,OP4 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A9A,OP5 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AAA,OP5 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0ABA,OP5 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A9B,OP6 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0AAB,OP6 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0ABB,OP6 Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A9E,OP Slave Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A01,OP Slave Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0ABE,OP Slave Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A9F,OP Master Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0A04,OP Master Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module ",,T02.P0ABF,OP Master Transceiver,,,ro,string,16,,,
"Settings,Optical Module Information,Optical Module",,T02.P0A40,OP1 Transceiver,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A50,OP1 Transceiver Tx/Rx Power,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A41,OP2 Transceiver,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A51,OP2 Transceiver Tx/Rx Power,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A42,OP3 Transceiver,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A52,OP3 Transceiver Tx/Rx Power,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A43,OP4 Transceiver,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A53,OP4 Transceiver Tx/Rx Power,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A44,OP5 Transceiver,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A54,OP5 Transceiver Tx/Rx Power,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A45,OP6 Transceiver,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A55,OP6 Transceiver Tx/Rx Power,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A02,OP Slave Transceiver,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A03,OP Slave Transceiver,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A05,OP Master Transceiver,dBm,,ro,int16,2,100,,
"Settings,Optical Module Information,Optical Module",,T02.P0A06,OP Master Transceiver,dBm,,ro,int16,2,100,,
"Settings,Engineering CMD,",,TB4.P0B75,,,,rw,string,20,,,
