Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,LAN Connectivity,Element Identification",,T02.P0002,Vendor,,,ro,string,20,,,
"Settings,LAN Connectivity,Element Identification",,T02.P0004,Element Model Number,,,rw,string,20,,,
"Settings,LAN Connectivity,Element Identification",,T02.P0005,Element Serial Number,,,ro,string,20,,,
"Settings,LAN Connectivity,Element Identification",,T02.P000A,Software Version,,,ro,string,20,,,
"Settings,LAN Connectivity,Element Identification",,T02.P0101,Device ID,,Hexadecimal,rw,binary,4,,,
"Settings,LAN Connectivity,Element Identification",,T02.P0102,Device Sub ID,,Decimalism,rw,uint8,1,,,
"Settings,LAN Connectivity,Element Identification",,T02.P0023,Installed Location Label,,,rw,string,20,,,
"Settings,LAN Connectivity,Element Identification",,T02.P0024,Site Name,,,ro,string,100,,,
"Settings,LAN Connectivity,Element Identification",,T02.P0030,Device Name,,,rw,string,40,,,
"Settings,LAN Connectivity,Element Identification",,T02.P0501,Element Operating Temperature,℃,,ro,int8,1,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0A96,OP1 Transceiver Serial Number,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0AA6,OP1 Transceiver Vendor Name,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0A97,OP2 Transceiver Serial Number,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0AA7,OP2 Transceiver Vendor Name,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0A98,OP3 Transceiver Serial Number,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0AA8,OP3 Transceiver Vendor Name,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0A99,OP4 Transceiver Serial Number,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0AA9,OP4 Transceiver Vendor Name,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0A9A,OP5 Transceiver Serial Number,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0AAA,OP5 Transceiver Vendor Name,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0A9B,OP6 Transceiver Serial Number,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0AAB,OP6 Transceiver Vendor Name,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0A9C,OP7 Transceiver Serial Number,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0AAC,OP7 Transceiver Vendor Name,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0A9D,OP8 Transceiver Serial Number,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0AAD,OP8 Transceiver Vendor Name,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0A8F,OP9 Transceiver Serial Number,,,ro,string,16,,,
"Settings,LAN Connectivity,Optical Module Serial Number And Vendor Name",,T02.P0AAE,OP9 Transceiver Vendor Name,,,ro,string,16,,,
