Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Band Configuration,Module 1",,T02.P0D29,UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D28,UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D27,DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P0D26,DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 1",,T02.P04A0,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 1",,T02.P04D2,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 1",,T02.P04D3,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 2",,T02.P0D49,UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D48,UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D47,DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P0D46,DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Module 2",,T02.P04A1,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 2",,T02.P04D4,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 2",,T02.P04D5,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module Mapping (H2RU-AU)",,T02.P0969,Radio Module 1 UL,,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (H2RU-AU)",,T02.P0979,Radio Module 1 DL,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (H2RU-AU)",,T02.P096B,Radio Module 2 UL,,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (H2RU-AU)",,T02.P097A,Radio Module 2 DL,,,ro,string,30,,,
"Settings,Radio Signal Information,Module 1",,T02.P05D0,Digital Filter Bandwidth,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Module 1",,T02.P05D1,UL Centre Frequency,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Module 1",,T02.P05D2,DL Centre Frequency,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Module 1",,T02.P0A31,UL Input Power,dBm,,ro,int16,2,10,-750 ~ -300,
"Settings,Radio Signal Information,Module 1",,T02.P0538,DL Output Power,dBm,,ro,int16,2,10,200 ~ 460,
"Settings,Radio Signal Information,Module 1",,T02.P0514,VSWR,,,ro,int16,2,10,0 ~ 30,
"Settings,Radio Signal Information,Module 2",,T02.P05D3,Digital Filter Bandwidth,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Module 2",,T02.P05D4,UL Centre Frequency,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Module 2",,T02.P05D5,DL Centre Frequency,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Module 2",,T02.P0A33,UL Input Power,dBm,,ro,int16,2,10,-750 ~ -300,
"Settings,Radio Signal Information,Module 2",,T02.P0539,DL Output Power,dBm,,ro,int16,2,10,200 ~ 460,
"Settings,Radio Signal Information,Module 2",,T02.P051A,VSWR,,,ro,int16,2,10,0 ~ 30,
"Settings,Radio Signal Information,General",,T02.P0501,Element Operating Temperature,℃,,ro,int8,1,,,
"Settings,Radio Signal Information,General",,T02.P0881,Open Load Detect Switch,,,rw,binary,1,,,00=Off;01=On
"Settings,Radio Signal Information,Uplink Baseband Power",,T02.P0A30,Module1 UL Baseband Input Power,dBm,,ro,int16,2,10,,
"Settings,Radio Signal Information,Uplink Baseband Power",,T02.P0A32,Module2 UL Baseband Input Power,dBm,,ro,int16,2,10,,
"Settings,Radio Signal Information,Downlink Baseband Power",,T02.P0A38,Module1 DL Baseband Output Power,dBm,,ro,int16,2,10,,
"Settings,Radio Signal Information,Downlink Baseband Power",,T02.P0A39,Module2 DL Baseband Output Power,dBm,,ro,int16,2,10,,
"Settings,LAN Connectivity,Element Identification",,T02.P0002,Vendor,,,ro,string,20,,,
"Settings,LAN Connectivity,Element Identification",,T02.P0004,Element Model Number,,,rw,string,20,,,
