Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0002,Vendor,,,ro,string,20,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0006,Element Model Number,,,rw,string,40,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0007,Element Serial Number,,,ro,string,40,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P000A,Software Version,,,ro,string,20,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P002D,Hardware Version,,,ro,string,40,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0AD0,Filesystem Edition,,,ro,string,10,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0101,Device ID,,Hexadecimal,rw,binary,4,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0102,Device Sub ID,,Decimalism,rw,uint8,1,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0023,Installed Location Label,,,rw,string,40,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0024,Site Name,,,ro,string,100,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0030,Device Name,,,rw,string,40,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P002A,MAC Address(NMS),,,ro,string,18,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P002B,Lifetime,hours,,ro,uint32,4,10,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P002C,Uptime,days:hours:minutes,,ro,string,12,,,
"Settings,Overview,Date And Time",Settings.Overview.DateAndTime,T02.P0150,System Date And Time,,,rw,datetime,7,,,
"Settings,Overview,General",Settings.Overview.General,T02.P0501,Element Operating Temperature,℃,,ro,int8,1,,,
"Settings,Overview,General",Settings.Overview.General,T02.P0881,Open Load Detect Switch,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Amplifier Module 1
Carrier Config,Amplifier1 Configuration,Amplifier Configuration",Settings.BandConfiguration.AmplifierModule1,T02.P0D29,Amplifier Module 1 UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Amplifier Module 1
Carrier Config,Amplifier1 Configuration,Amplifier Configuration",Settings.BandConfiguration.AmplifierModule1,T02.P0D28,Amplifier Module 1 UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Amplifier Module 1
Carrier Config,Amplifier1 Configuration,Amplifier Configuration",Settings.BandConfiguration.AmplifierModule1,T02.P0D27,Amplifier Module 1 DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Amplifier Module 1
Carrier Config,Amplifier1 Configuration,Amplifier Configuration",Settings.BandConfiguration.AmplifierModule1,T02.P0D26,Amplifier Module 1 DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Amplifier Module 1",Settings.BandConfiguration.AmplifierModule1,T02.P04A0,Amplifier Module 1 RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Amplifier Module 1",Settings.BandConfiguration.AmplifierModule1,T02.P04D2,Amplifier Module 1 UL Attenuation,dB,,rw,uint8,1,2,0 ~ 40,
"Settings,Band Configuration,Amplifier Module 1",Settings.BandConfiguration.AmplifierModule1,T02.P04D3,Amplifier Module 1 DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Amplifier Module 2
Carrier Config,Amplifier2 Configuration,Channel Configuration",Settings.BandConfiguration.AmplifierModule2,T02.P0D49,Amplifier Module 2 UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Amplifier Module 2
Carrier Config,Amplifier2 Configuration,Channel Configuration",Settings.BandConfiguration.AmplifierModule2,T02.P0D48,Amplifier Module 2 UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Amplifier Module 2
Carrier Config,Amplifier2 Configuration,Channel Configuration",Settings.BandConfiguration.AmplifierModule2,T02.P0D47,Amplifier Module 2 DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Amplifier Module 2
Carrier Config,Amplifier2 Configuration,Channel Configuration",Settings.BandConfiguration.AmplifierModule2,T02.P0D46,Amplifier Module 2 DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Amplifier Module 2",Settings.BandConfiguration.AmplifierModule2,T02.P04A1,Amplifier Module 2 RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Amplifier Module 2",Settings.BandConfiguration.AmplifierModule2,T02.P04D4,Amplifier Module 2 UL Attenuation,dB,,rw,uint8,1,2,0 ~ 40,
"Settings,Band Configuration,Amplifier Module 2",Settings.BandConfiguration.AmplifierModule2,T02.P04D5,Amplifier Module 2 DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
