Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0002,Vendor,,,ro,string,20,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0006,Element Model Number,,,rw,string,40,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0007,Element Serial Number,,,ro,string,40,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P000A,Software Version,,,ro,string,20,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0025,SNMP Version,,,ro,string,20,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0AD0,Filesystem Edition,,,ro,string,10,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0101,Device ID,,Hexadecimal,rw,binary,4,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0102,Device Sub ID,,Decimalism,rw,uint8,1,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0023,Installed Location Label,,,rw,string,40,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0024,Site Name,,,rw,string,100,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P0030,Device Name,,,rw,string,40,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P002A,MAC Address(NMS),,,ro,string,18,,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P002B,Lifetime,hours,,ro,uint32,4,10,,
"Settings,Overview,Element Identification",Settings.Overview.ElementIdentification,T02.P002C,Uptime,days:hours:minutes,,ro,string,12,,,
"Settings,Overview,Date And Time",Settings.Overview.DateAndTime,T02.P0150,System Date And Time,,,rw,datetime,7,,,
"Settings,Overview,Temperature",Settings.Overview.Temperature,T02.P0501,Element Operating Temperature,℃,,ro,int8,1,,,
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F30,TDD Switch,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F40,Sync Status,,,ro,binary,1,,,00=Sync;01=Unsync
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F31,Radio Module 1,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F32,Radio Module 2,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F33,Radio Module 3,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F34,Radio Module 4,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F38,SSB Type,,,rw,binary,1,,,00=CASE C;01=CASE A
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F3E,Slot Configuration,,,rw,string,40,,,
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F45,Special Slot symbol Format1,,,rw,string,10,,,
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0F46,Special Slot symbol Format2,,,rw,string,10,,,
"Settings,TDD Configuration,5G TDD",Settings.TDDConfiguration.5GTDD,T02.P0D4D,SSB ARFCN,,0:auto scan mode; else manual mode,rw,uint32,4,,,
"Settings,TDD Configuration,4G TDD",Settings.TDDConfiguration.4GTDD,T02.P0F50,TDD Switch,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,4G TDD",Settings.TDDConfiguration.4GTDD,T02.P0F5A,Sync Status,,,ro,binary,1,,,00=Sync;01=Unsync
"Settings,TDD Configuration,4G TDD",Settings.TDDConfiguration.4GTDD,T02.P0F51,Radio Module 1,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,4G TDD",Settings.TDDConfiguration.4GTDD,T02.P0F52,Radio Module 2,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,4G TDD",Settings.TDDConfiguration.4GTDD,T02.P0F53,Radio Module 3,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,4G TDD",Settings.TDDConfiguration.4GTDD,T02.P0F54,Radio Module 4,,,rw,binary,1,,,00=Off;01=On
"Settings,TDD Configuration,4G TDD",Settings.TDDConfiguration.4GTDD,T02.P0EF1,UL-DL Configuration,,,rw,binary,1,,,00=0;01=1;02=2;03=3;04=4;05=5;06=6
"Settings,TDD Configuration,4G TDD",Settings.TDDConfiguration.4GTDD,T02.P0EF2,Special Subframe Configuration,,,rw,binary,1,,,00=0;01=1;02=2;03=3;04=4;05=5;06=6;07=7;08=8
"Settings,Radio Signal Information,Radio Module 1",Settings.RadioSignalInformation.RadioModule1,T02.P04A0,Radio Module 1 RF Signal Active,,,rw,binary,1,,,00=Off;01=On
