Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Band Configuration,Module 1",,T02.P04A0,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 1",,T02.P04D2,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 1",,T02.P04D3,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 2",,T02.P04A1,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 2",,T02.P04D4,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 2",,T02.P04D5,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 3",,T02.P04A2,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 3",,T02.P04D6,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 3",,T02.P04D7,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 4",,T02.P04A3,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 4",,T02.P04D8,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 4",,T02.P04D9,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 5",,T02.P04A4,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 5",,T02.P04DA,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 5",,T02.P04DB,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 6",,T02.P04A5,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 6",,T02.P04DC,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 6",,T02.P04DD,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 7",,T02.P04A6,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 7",,T02.P04DE,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 7",,T02.P04DF,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 8",,T02.P04A7,RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Module 8",,T02.P04E2,UL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module 8",,T02.P04E1,DL Attenuation,dB,,rw,uint8,1,2,0 ~ 30,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P0969,Radio Module 1 Module Mapping Frequency (UL/DL),,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P0979,Radio Module 1 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P096B,Radio Module 2 Module Mapping Frequency (UL/DL),,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P097A,Radio Module 2 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P096D,Radio Module 3 Module Mapping Frequency (UL/DL),,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P097B,Radio Module 3 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P096F,Radio Module 4 Module Mapping Frequency (UL/DL),,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P097C,Radio Module 4 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P0971,Radio Module 5 Module Mapping Frequency (UL/DL),,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P097D,Radio Module 5 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P0973,Radio Module 6 Module Mapping Frequency (UL/DL),,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P097E,Radio Module 6 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P0975,Radio Module 7 Module Mapping Frequency (UL/DL),,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P097F,Radio Module 7 Module Mapping,,,ro,string,30,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P0977,Radio Module 8 Module Mapping Frequency (UL/DL),,,ro,string,27,,,
"Settings,Band Configuration,Module Mapping (with Access Unit Radio Module)",,T02.P0980,Radio Module 8 Module Mapping,,,ro,string,30,,,
