Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Overview,Element Identification",,T02.P0002,Vendor,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P0004,Element Model Number,,,rw,string,20,,,
"Settings,Overview,Element Identification",,T02.P0005,Element Serial Number,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P000A,Software Version,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P0101,Device ID,,Hexadecimal,rw,binary,4,,,
"Settings,Overview,Element Identification",,T02.P0102,Device Sub ID,,Decimalism,rw,uint8,1,,,
"Settings,Overview,Element Identification",,T02.P0023,Installed Location Label,,,rw,string,40,,,
"Settings,Overview,Element Identification",,T02.P0024,Site Name,,,ro,string,100,,,
"Settings,Overview,Element Identification",,T02.P0030,Device Name,,,rw,string,40,,,
"Settings,Overview,Date And Time",,T02.P0150,System Date And Time,,,rw,datetime,7,,,
"Settings,Band Configuration,Radio Module 1",,T02.P0E16,Radio Module 1 Info Check,,,ro,binary,1,,,00=Valid;01=Invalid
"Settings,Band Configuration,Radio Module 1
Settings,Radio Interface Modules,Radio Module 1",,T02.P0D29,Radio Module 1 UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1
Settings,Radio Interface Modules,Radio Module 1",,T02.P0D28,Radio Module 1 UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1
Settings,Radio Interface Modules,Radio Module 1",,T02.P0D27,Radio Module 1 DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1
Settings,Radio Interface Modules,Radio Module 1",,T02.P0D26,Radio Module 1 DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1",,T02.P0D2A,Radio Module 1 Digital Signal Bandwidth,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1",,T02.P0D2B,Radio Module 1 UL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1",,T02.P0D2C,Radio Module 1 DL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1",,T02.P0D21,Radio Module 1 BW Occupied in Fiber,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1",,T02.P0EB9,Radio Module 1 Transmission Allocation in Fiber Core,,,ro,binary,1,,0 ~ 400,00=None;01=Fiber Core A;02=Fiber Core B
"Settings,Band Configuration,Radio Module 2",,T02.P0E36,Radio Module 2 Info Check,,,ro,binary,1,,,00=Valid;01=Invalid
"Settings,Band Configuration,Radio Module 2
Settings,Radio Interface Modules,Radio Module 2",,T02.P0D49,Radio Module 2 UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2
Settings,Radio Interface Modules,Radio Module 2",,T02.P0D48,Radio Module 2 UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2
Settings,Radio Interface Modules,Radio Module 2",,T02.P0D47,Radio Module 2 DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2
Settings,Radio Interface Modules,Radio Module 2",,T02.P0D46,Radio Module 2 DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2",,T02.P0D4A,Radio Module 2 Digital Signal Bandwidth,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2",,T02.P0D4B,Radio Module 2 UL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2",,T02.P0D4C,Radio Module 2 DL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2",,T02.P0D22,Radio Module 2 BW Occupied in Fiber,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2",,T02.P0EBA,Radio Module 2 Transmission Allocation in Fiber Core,,,ro,binary,1,,0 ~ 400,00=None;01=Fiber Core A;02=Fiber Core B
"Settings,Band Configuration,Radio Module 3",,T02.P0E56,Radio Module 3 Info Check,,,ro,binary,1,,,00=Valid;01=Invalid
"Settings,Band Configuration,Radio Module 3
Settings,Radio Interface Modules,Radio Module 3",,T02.P0D69,Radio Module 3 UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 3
Settings,Radio Interface Modules,Radio Module 3",,T02.P0D68,Radio Module 3 UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 3
Settings,Radio Interface Modules,Radio Module 3",,T02.P0D67,Radio Module 3 DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 3
Settings,Radio Interface Modules,Radio Module 3",,T02.P0D66,Radio Module 3 DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 3",,T02.P0D6A,Radio Module 3 Digital Signal Bandwidth,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 3",,T02.P0D6B,Radio Module 3 UL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 3",,T02.P0D6C,Radio Module 3 DL Centre Frequency,MHz,,rw,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 3",,T02.P0D23,Radio Module 3 BW Occupied in Fiber,MHz,,ro,uint32,4,1000,,
